Date,Open,High,Low,Close,Volume,Adj Close,NDX,SP500,ewma_5,ewma_22,ewma_200,MACD,Lower band,Upper band,Middle band,AO,AC,%R
03-01-00,81.5,89.5625,79.046799,89.375,16117600,89.375,3790.550049,1455.219971,89.375,89.375,89.375,0,,,,,,90.03623645
04-01-00,85.375,91.5,81.75,81.9375,17487400,81.9375,3546.199951,1399.420044,84.9125,85.48721591,85.63765625,-0.166866987,,,,,,90.9198648
05-01-00,70.5,75.125,68,69.75,38457400,69.75,3507.310059,1402.109985,77.73026316,79.75769959,80.28872416,-0.590555308,,,,,,92.36782722
06-01-00,71.3125,72.6875,64,65.5625,18752000,65.5625,3340.810059,1403.449951,72.67596154,75.7110034,76.55176162,-0.919972144,,,,,,92.86533225
07-01-00,67,70.5,66.1875,69.5625,10505400,69.5625,3529.600098,1441.469971,71.48074645,74.24805584,75.12581317,-0.92043539,,,,,,92.39010356
10-01-00,72.5625,72.625,65.5625,69.1875,14757900,69.1875,3717.409912,1457.599976,70.64276316,73.20191502,74.11118722,-0.919447958,,,,,,92.43465625
11-01-00,66.875,70,65,66.75,10532700,66.75,3544.350098,1438.560059,69.26450947,72.01080322,73.02777954,-1.013400395,,,,,,92.72424873
12-01-00,67.875,68,63,63.5625,10804500,63.5625,3478.139893,1432.25,67.28666733,70.58989291,71.80279702,-1.211701146,,,,,,93.1029466
13-01-00,64.9375,67.1875,63.125,65.9375,10448100,65.9375,3612.080078,1449.680054,66.82493415,69.86619963,71.1247268,-1.212751742,,,,,,92.82077956
14-01-00,66.75,68.625,64,64.25,6853600,64.25,3704.73999,1465.150024,65.95147566,69.04866344,70.40590751,-1.282774864,,,,,,93.02126667
18-01-00,63.4375,65.1875,63,64.125,5384900,64.125,3757.780029,1455.140015,65.33552947,68.37162019,69.80594034,-1.322044266,,,,,,93.03611756
19-01-00,64.125,67.5,63,66.8125,8245500,66.8125,3790.889893,1455.900024,65.83167696,68.16754496,69.54253958,-1.185221515,,,,,,92.71682329
20-01-00,66.9375,67,63.9375,64.75,5978000,64.75,3841.73999,1445.569946,65.46925577,67.73904421,69.15135991,-1.184534458,,,,,,92.96186308
21-01-00,64.625,64.625,60,62.0625,11461900,62.0625,3849.959961,1441.359985,64.32976721,67.05364156,68.6114455,-1.324392766,,,,,,93.28115736
24-01-00,67.5625,73.375,67.5,70.125,29170200,70.125,3660.959961,1401.530029,66.26593301,67.41236639,68.71956459,-0.934527174,,,,,,92.32327453
25-01-00,70,71.25,66,69.25,9434100,69.25,3759.110107,1410.030029,67.26213867,67.62077708,68.75526092,-0.680022041,,,,,,92.4272308
26-01-00,68.625,70,64.75,64.8125,6558000,64.8125,3621.209961,1404.089966,66.44476284,67.31049216,68.50431836,-0.752100079,,,,,,92.95443763
27-01-00,65.1875,67.75,64.625,66.9375,6784000,66.9375,3593.149902,1398.560059,66.60911977,67.270228,68.40967783,-0.664086301,,,,,,92.70197239
28-01-00,65,66.4375,60,61.6875,13777900,61.6875,3446.129883,1360.160034,64.96783948,66.67996875,68.02314003,-0.925150713,,,,,,93.32571005
31-01-00,60.375,64.75,58.4375,64.5625,10697900,64.5625,3570.050049,1394.459961,64.83268567,66.46021519,67.83317968,-0.927796343,54.7930753,81.3069247,68.05,,,92.98413943
01-02-00,67.5,70.625,64.375,67.4375,13404600,67.4375,3701.780029,1409.280029,65.70113123,66.55996084,67.81239428,-0.728512463,58.29164845,75.61460155,66.953125,,,92.6425688
02-02-00,67.9375,72.25,67.75,69.4375,14025900,69.4375,3724.459961,1409.119995,66.94675397,66.8492832,67.89427593,-0.431391702,61.09304674,71.56320326,66.328125,,,92.40495446
03-02-00,81.125,85.9375,77.375,84.1875,43750000,84.1875,3851.159912,1424.969971,72.69418144,68.56918435,68.68331215,0.806238758,57.56866446,76.53133554,67.05,,,90.65254866
04-02-00,82.75,82.75,77.875,78.5625,11023000,78.5625,3874.370117,1424.369995,74.65040383,69.548505,69.14400797,1.371261415,56.9504131,78.4495869,67.7,,,91.32083901
07-02-00,76.1875,76.875,73.125,75,10129000,75,3933.340088,1424.23999,74.7669405,70.07690419,69.4074273,1.546906033,56.75888947,79.18486053,67.971875,,,91.74408956
08-02-00,74,84,73.4375,83.125,19472800,83.125,4062.77002,1441.719971,77.55303389,71.32913622,70.00359769,2.236017162,55.56471913,81.77278087,68.66875,,,90.77878128
09-02-00,80.546799,83.734299,80.015602,80.25,9580400,80.25,3968.459961,1411.709961,78.45203842,72.17762754,70.43447122,2.543017672,55.29885605,83.38864395,69.34375,,,91.1203519
10-02-00,78.5,79.875,75.5,76.1875,9979600,76.1875,4090,1416.829956,77.69718342,72.55593339,70.66886861,2.462267585,55.88935968,84.06064032,69.975,,,91.60300604
11-02-00,77.125,79.125,75.5,76.1875,8309000,76.1875,3968.889893,1387.119995,77.19395168,72.89603613,70.88699898,2.370629206,56.27508419,84.69991581,70.4875,,,91.60300604
