,RMSE,MAE,Hit rate
0,0.14004337243369214,0.1107228961254968,0.5182186234817814
1000,0.07533333061934534,0.06205378970583434,0.5020242914979757
2000,0.06527444160411097,0.05475988638511356,0.49122807017543857
3000,0.0828769302672514,0.0702416972322194,0.5060728744939271
4000,0.0767366736346858,0.06256198220482166,0.5155195681511471
5000,0.11377520002143243,0.09245025737821747,0.5128205128205128
6000,0.049672379947890706,0.0389611062192371,0.5182186234817814
7000,0.10515065981626677,0.08800709757922519,0.5195681511470985
8000,0.1095666341436466,0.09078403416188811,0.5290148448043185
9000,0.10421308439764179,0.08756794875705419,0.5263157894736842
10000,0.09752018788246732,0.08253838457499474,0.5263157894736842
11000,0.10038932385094017,0.08497830706011048,0.5182186234817814
12000,0.11879817443299334,0.09973317498336866,0.5182186234817814
13000,0.08310759104540337,0.07017516039166952,0.5222672064777328
14000,0.11878391379246582,0.09980748443534607,0.524966261808367
15000,0.11198466346299703,0.09470846399461938,0.5236167341430499
16000,0.10388562806514667,0.08791278150921684,0.5222672064777328
17000,0.10294610353946837,0.08740613285487026,0.524966261808367
18000,0.12097370498481869,0.10187877103595532,0.5236167341430499
19000,0.1126201881342992,0.09506115624694908,0.524966261808367
20000,0.09297146119339836,0.07859615007999184,0.5087719298245614
21000,0.03187094011453565,0.025872398839213086,0.5374855824682814
