,RMSE,MAE,HITRATE
0,0.3013130310864958,0.22759258770447705,0.5130486358244365
500,0.08705456519999248,0.06464476513951752,0.5195729537366548
1000,0.06375935294777489,0.04952811874478119,0.5166073546856464
1500,0.09875305035015662,0.0780996579356974,0.5243179122182681
2000,0.05431659926789677,0.042321907412381565,0.5465599051008304
2500,0.08155566578157158,0.05983877582509812,0.5305456702253856
3000,0.07037348007531227,0.05270792356414795,0.5430011862396203
3500,0.08374201248802544,0.062361687588868085,0.5252075919335706
4000,0.0499677582286118,0.039777852670346524,0.5480427046263345
4500,0.05621630611174077,0.04616390535138829,0.5430011862396203
5000,0.047546003476382236,0.03778207241236237,0.5483392645314353
5500,0.05303915183260763,0.04305060812696614,0.5447805456702254
6000,0.032244067766414586,0.026659756238627635,0.556049822064057
6500,0.03329564739713217,0.02680048080696134,0.5714709371293001
7000,0.03232482233318661,0.026318613507284858,0.5688018979833926
7500,0.0341878449594357,0.02649582172343335,0.5667259786476868
8000,0.03609542997611753,0.027820720534866658,0.5616844602609727
8500,0.04138717599593615,0.03327291535351427,0.5667259786476868
9000,0.02186562797047504,0.01705085406385979,0.5883748517200474
9500,0.022942884292651993,0.01815496721724877,0.5782918149466192
10000,0.0359023593185122,0.028765321055181002,0.5643534994068802
