,RMSE,MAE,Hit rate
0,0.16459699670316208,0.1344396533378954,0.5074224021592443
1000,0.13722028558483054,0.11862835603560462,0.5209176788124157
2000,0.1394429666439067,0.12056331964469622,0.5222672064777328
3000,0.13973616862075633,0.12081780468297876,0.5209176788124157
4000,0.1397876770574133,0.12086198940483364,0.5209176788124157
5000,0.1397993464849191,0.12087189613736395,0.5209176788124157
6000,0.13980312771756365,0.12087511973654298,0.5209176788124157
7000,0.13980429467357292,0.120876125042918,0.5209176788124157
8000,0.13980472619631756,0.12087649137350115,0.5209176788124157
9000,0.13980465344514195,0.12087642996408457,0.5209176788124157
10000,0.13980468815498098,0.12087645938394159,0.5209176788124157
11000,0.13980467157621146,0.12087644497492628,0.5209176788124157
12000,0.13980471180610005,0.12087647862256629,0.5209176788124157
13000,0.13980467602654062,0.12087644883514555,0.5209176788124157
14000,0.13980469933501327,0.12087646828261768,0.5209176788124157
15000,0.1398046467656713,0.12087642432428868,0.5209176788124157
16000,0.13980464051337269,0.12087641901794827,0.5209176788124157
17000,0.1398046663633473,0.12087644047321107,0.5209176788124157
18000,0.13980471790451862,0.12087648389831561,0.5209176788124157
19000,0.13980468150730607,0.12087645336954435,0.5209176788124157
20000,0.1398046892865919,0.12087645984749992,0.5209176788124157
21000,0.1350928128498587,0.12514458561273337,0.5086505190311419
