,Open,DJIA,std30,ma7_1,ma7_2,ma7_3,ma7_4,ma30_1,ma30_2,ma30_3,ma30_4,Close_1,Close_2,Close_3
count,4129.0,4129.0,4129.0,4129.0,4129.0,4129.0,4129.0,4129.0,4129.0,4129.0,4129.0,4129.0,4129.0,4129.0
mean,127.00556978009216,12268.737884619515,3.5214615756724497,126.90477866833886,126.80570132235403,126.71907871726114,126.64531776760192,126.32322969418392,126.01457947040095,125.75125819278271,125.48476570089606,127.08377825429876,127.07019142794852,127.05712773165402
std,41.1296459822524,2980.1998770681994,2.051704169602475,41.04624986308069,41.029739520936225,41.008755318063216,40.98907393445271,40.94687401619108,40.870083084568115,40.81534078726198,40.75444940037687,41.144276917142754,41.140487159238575,41.136625934238815
min,54.650002,6547.049805,0.5925710051505245,57.54142871428559,57.54142871428559,57.54142871428559,57.54142871428559,57.54142871428559,57.54142871428559,57.54142871428559,57.54142871428559,55.07,55.07,55.07
25%,90.5,10241.019531,2.05268322486904,90.58428642857143,90.58428642857143,90.58428642857143,90.58428642857143,90.58428642857143,90.58428642857143,90.58428642857143,90.58428642857143,90.550003,90.550003,90.550003
50%,117.139999,11239.769531,3.048959260650354,116.83857185714291,116.71428571428577,116.58142842857144,116.51428771428576,115.95285700000007,115.58571314285716,115.08571399999995,115.01142757142853,117.400002,117.379997,117.360001
75%,162.339996,13712.209961000002,4.533556564188013,162.1928558571428,162.12428514285708,161.90999928571418,161.90999928571418,161.90999928571418,161.90999928571418,161.80999971428562,161.80999971428562,162.300003,162.279999,162.279999
max,215.380005,19974.619141,13.560802443333795,213.82428642857107,213.82428642857107,213.82428642857107,213.82428642857107,213.82428642857107,213.82428642857107,213.82428642857107,213.82428642857107,215.800003,215.800003,215.800003
