,RMSE,MAE,HITRATE
0,0.26616730188440696,0.21168755401729644,0.5068208778173191
500,0.045002077841173146,0.036454252150738144,0.5527876631079478
1000,0.046742668161599714,0.037989956930267105,0.5379596678529063
1500,0.04169462910205226,0.03430041038842155,0.5486358244365361
2000,0.03939570148778366,0.03302473946169701,0.5513048635824437
2500,0.04532724516755471,0.036903148621616214,0.5480427046263345
3000,0.03942739614378533,0.0324467475329108,0.5456702253855279
3500,0.050603681622752375,0.04173017769783704,0.5459667852906287
4000,0.038995078846682615,0.032150507506308976,0.5548635824436536
4500,0.05254798123374279,0.04044068522253803,0.5430011862396203
5000,0.0470770773294239,0.03873704667797104,0.5459667852906287
5500,0.038723328793147334,0.03193610970388391,0.5486358244365361
6000,0.0485174435107886,0.039280355763548234,0.5450771055753262
6500,0.04263668450781204,0.03538405552962819,0.5480427046263345
7000,0.04876402652680878,0.03863376205350854,0.5409252669039146
7500,0.04699571564978974,0.037125271402920705,0.5495255041518387
8000,0.03586194432556997,0.029921139348422145,0.5516014234875445
8500,0.04793754832280285,0.03945326530533911,0.5501186239620404
9000,0.04262551178185626,0.03413196961463415,0.5566429418742586
9500,0.049814083469443,0.03996995312619885,0.5486358244365361
10000,0.04251667854212189,0.03485980259436748,0.5569395017793595
10500,0.04027459512492209,0.03382700272041735,0.5498220640569395
11000,0.046305744962674304,0.03756190603908041,0.5516014234875445
11500,0.039548372610803774,0.03239936196904757,0.5554567022538552
12000,0.051278950460086896,0.04218488250975239,0.5504151838671412
12500,0.03941626131174817,0.032429498165280395,0.5602016607354685
13000,0.05302747711213903,0.04079994458415148,0.5456702253855279
13500,0.04732440673596535,0.03890051048453057,0.548932384341637
14000,0.03902122216485564,0.03211900624059725,0.5554567022538552
14500,0.04868950554194366,0.03937154568452277,0.5492289442467378
15000,0.04282049877006507,0.03550256394426715,0.5530842230130486
15500,0.04889885020650496,0.038703707736462735,0.5427046263345195
16000,0.047131681254110144,0.03716802207724508,0.5545670225385528
16500,0.03602964464186782,0.03003319353463702,0.5530842230130486
17000,0.04805735475524726,0.03950796979900109,0.552491103202847
17500,0.04277657172681828,0.03419700515925393,0.5622775800711743
18000,0.049979930149346,0.040034409956608806,0.550711743772242
18500,0.04263665819298857,0.03491689312256975,0.5590154211150652
19000,0.040414671066523015,0.03392856255432467,0.5516014234875445
19500,0.04645100116049456,0.03764359820489494,0.552491103202847
20000,0.039681403970234536,0.0324835990440832,0.5566429418742586
