,RMSE,MAE,HITRATE
0,0.3567888928740583,0.31325769231500994,0.5091933570581257
500,0.034092009904465,0.027942046719828913,0.5587188612099644
1000,0.022315878198761144,0.01684041496074459,0.580367734282325
1500,0.02794148921099051,0.02111850115469081,0.5889679715302492
2000,0.02052595314998718,0.015488367985381774,0.6046856465005931
2500,0.027223954670315166,0.022261463583010174,0.5809608540925267
3000,0.021097877056410707,0.01650578770229939,0.5880782918149466
3500,0.022071849778741014,0.016295300591726517,0.6168446026097272
4000,0.02437716943171431,0.019562145992165682,0.5877817319098458
4500,0.02061610583222788,0.015130498629456415,0.6206998813760379
5000,0.01923740348477217,0.014436611631960056,0.6064650059311981
5500,0.021590981207506993,0.016796790535649,0.5931198102016607
6000,0.020565965923788284,0.015669651284209694,0.608540925266904
6500,0.020085259858016322,0.015116095590759366,0.6109134045077106
7000,0.020521294500349178,0.015489762154266023,0.6120996441281139
7500,0.019324176281115883,0.014231486202441922,0.6195136417556346
8000,0.01957085920740245,0.014303322650897631,0.6212930011862396
8500,0.019294637554913938,0.014098504169744773,0.6245551601423488
9000,0.019354389853774728,0.014145132836999268,0.6278173190984578
9500,0.01945321563938516,0.01422428025876672,0.6239620403321471
10000,0.01965622547959918,0.014387536967273818,0.6251482799525504
