Date,Open,High,Low,Close,Volume,Adj Close,Date,NDX,DJIA,SP500
2000-03-01,112.4375,116.0,111.875,116.0,10347700,87.761136,2000-01-03,3790.550049,11357.509766,1455.219971
2000-04-01,114.0,114.5,110.875,112.0625,8227800,84.782175,2000-01-04,3546.199951,10997.929688,1399.420044
2000-05-01,112.9375,119.75,112.125,116.0,12733200,87.761136,2000-01-05,3507.310059,11122.650391,1402.109985
2000-06-01,118.0,118.9375,113.5,114.0,7971900,86.248013,2000-01-06,3340.810059,11253.259766,1403.449951
2000-07-01,117.25,117.9375,110.625,113.5,11856700,85.869732,2000-01-07,3529.600098,11522.55957,1441.469971
2000-10-01,117.25,119.375,115.375,118.0,8540500,89.274259,2000-01-10,3717.409912,11572.200195,1457.599976
2000-11-01,117.875,121.125,116.625,119.0,7873300,90.030821,2000-01-11,3544.350098,11511.080078,1438.560059
2000-12-01,119.625,122.0,118.25,119.5,6803800,90.409101,2000-01-12,3478.139893,11551.099609,1432.25
2000-01-13,119.9375,121.0,115.75,118.25,8489700,89.463399,2000-01-13,3612.080078,11582.429688,1449.680054
2000-01-14,120.9375,123.3125,117.5,119.625,10956600,90.503672,2000-01-14,3704.73999,11722.980469,1465.150024
2000-01-18,119.6875,119.75,115.0,115.75,7643900,87.571996,2000-01-18,3757.780029,11560.719727,1455.140015
2000-01-19,115.5625,122.0,112.6875,119.5,8634500,90.409101,2000-01-19,3790.889893,11489.360352,1455.900024
2000-01-20,123.0,124.75,119.0,119.0,17783400,90.030821,2000-01-20,3841.73999,11351.299805,1445.569946
2000-01-21,121.875,123.0,119.9375,121.5,7868700,91.922224,2000-01-21,3849.959961,11251.709961,1441.359985
2000-01-24,121.875,122.875,116.5625,121.5,6499200,91.922224,2000-01-24,3660.959961,11008.169922,1401.530029
2000-01-25,116.75,119.5,116.0,119.125,6936900,90.12539100000001,2000-01-25,3759.110107,11029.889648,1410.030029
2000-01-26,119.0625,119.9375,116.0,116.75,4895100,88.32855699999999,2000-01-26,3621.209961,11032.990234,1404.089966
2000-01-27,118.0,118.4375,111.625,113.5,8324600,85.869732,2000-01-27,3593.149902,11028.019531,1398.560059
2000-01-28,112.75,114.1875,110.0625,111.5625,6669400,84.403894,2000-01-28,3446.129883,10738.870117,1360.160034
2000-01-31,111.375,112.8125,109.625,112.25,6202700,84.92403,2000-01-31,3570.050049,10940.530273,1394.459961
2000-01-02,112.375,113.4375,109.125,110.0,7304700,83.221767,2000-02-01,3701.780029,11041.049805,1409.280029
2000-02-02,112.0,115.8125,110.375,113.5,7707700,85.869732,2000-02-02,3724.459961,11003.200195,1409.119995
2000-03-02,115.0,117.5,114.0625,117.125,6213800,88.612268,2000-02-03,3851.159912,11013.44043,1424.969971
2000-04-02,118.1875,118.4375,114.8125,115.625,5405300,87.477425,2000-02-04,3874.370117,10963.799805,1424.369995
2000-07-02,116.0,116.875,113.125,114.125,5779500,86.34258299999999,2000-02-07,3933.340088,10905.790039,1424.23999
2000-08-02,116.9375,119.0,116.1875,118.8125,5464300,89.98358499999999,2000-02-08,4062.77002,10957.599609,1441.719971
2000-09-02,119.0,119.75,117.0,117.375,5374700,88.894883,2000-02-09,3968.459961,10699.160156,1411.709961
2000-10-02,117.6875,119.125,116.875,119.125,4446600,90.220259,2000-02-10,4090.0,10643.629883,1416.829956
2000-11-02,119.0625,119.4375,114.5625,115.375,5749400,87.380167,2000-02-11,3968.889893,10425.209961,1387.119995
2000-02-14,116.0,116.375,114.5,116.0625,4544000,87.900851,2000-02-14,3986.129883,10519.839844,1389.939941
2000-02-15,115.875,117.4375,113.875,117.125,5177500,88.705543,2000-02-15,3997.030029,10718.089844,1402.050049
2000-02-16,116.5,117.3125,115.25,115.75,3966900,87.664176,2000-02-16,3997.969971,10561.410156,1387.670044
2000-02-17,116.5,118.875,115.75,116.75,5237500,88.421534,2000-02-17,4125.379883,10514.570312,1388.26001
2000-02-18,115.25,115.9375,111.5,112.5,7673400,85.202763,2000-02-18,3965.75,10219.519531,1346.089966
2000-02-22,112.0,113.4375,108.75,111.0,7654800,84.066726,2000-02-22,3969.129883,10304.839844,1352.170044
2000-02-23,110.5,110.5,108.5,108.75,7435300,82.36267099999999,2000-02-23,4170.089844,10225.730469,1360.689941
2000-02-24,108.8125,111.0,108.1875,110.5,9112000,83.688047,2000-02-24,4253.049805,10092.629883,1353.430054
2000-02-25,109.875,109.875,104.9375,108.0,10312200,81.794653,2000-02-25,4178.580078,9862.120117,1333.359985
2000-02-28,104.625,106.5,103.9375,104.5,8479900,79.1439,2000-02-28,4162.129883,10038.650391,1348.050049
2000-02-29,105.5625,105.5625,100.9375,102.75,10484900,77.818524,2000-02-29,4266.939941,10128.30957,1366.420044
2000-01-03,102.0,105.5,100.0625,100.25,10807800,75.925129,2000-03-01,4309.009766,10137.929688,1379.189941
2000-02-03,100.5,105.4375,99.5,103.125,11192900,78.102533,2000-03-02,4234.259766,10164.919922,1381.76001
2000-03-03,107.25,110.0,106.0625,108.0,10162800,81.794653,2000-03-03,4442.870117,10367.200195,1409.170044
2000-06-03,109.9375,111.0,101.0,103.0625,10747400,78.055198,2000-03-06,4457.180176,10170.5,1391.280029
2000-07-03,106.0,107.0,101.6875,103.0,10035100,78.007863,2000-03-07,4390.830078,9796.030273,1355.619995
